osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access,facility_name_clean,category,zone,operator_tier,pricing_source,tariff_model,base_rate_kes,penalty_fee_kes,county_cost_basis_kes,security_score,accessibility_score,price_transparency_score,overall_rating,sentiment_data_source,time_period,current_speed_kmh,free_flow_speed_kmh,traffic_delay_index,traffic_data_source,total_capacity_bays,capacity_is_reported,distance_to_cbd_km,tier,relative_parking_pressure_index,historical_occupancy_reference_pct,historical_reference_source,validation_status,parking_pressure_score,curb_length_m,estimated_capacity,capacity_source,capacity_fetch_status,cluster_id
1004336475,Unnamed Parking,-1.3070281142857143,36.833702114285714,street_side,unknown,,24/7,public,"Parking Spot (-1.3070, 36.8337)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,41,41,1.0,tomtom_flow_api,,False,3.245573261452899,tier2_other,0.0,,,no_ground_truth_reference_available,,130.8,26,estimated_from_street_length_ITDP_methodology,ok_way,1004336475
1550083504,Unnamed Parking,-1.3071777,36.83468266,street_side,unknown,,24/7,public,"Parking Spot (-1.3072, 36.8347)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,51,59,1.16,tomtom_flow_api,,False,3.323510859111026,tier2_other,8.0,,,no_ground_truth_reference_available,,66.7,13,estimated_from_street_length_ITDP_methodology,ok_way,1550083504
1550329428,Unnamed Parking,-1.3053007600000002,36.83928672,street_side,unknown,,24/7,public,"Parking Spot (-1.3053, 36.8393)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,51,59,1.16,tomtom_flow_api,,False,3.5056095379752708,tier2_other,8.0,,,no_ground_truth_reference_available,,53.5,11,estimated_from_street_length_ITDP_methodology,ok_way,1550329430
1550329429,Unnamed Parking,-1.3053863,36.83934372,street_side,unknown,,24/7,public,"Parking Spot (-1.3054, 36.8393)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,60,60,1.0,tomtom_flow_api,,False,3.516786459264229,tier2_other,0.0,,,no_ground_truth_reference_available,,67.6,14,estimated_from_street_length_ITDP_methodology,ok_way,1550329430
1550329430,Unnamed Parking,-1.3052107200000005,36.83910741999999,street_side,unknown,,24/7,public,"Parking Spot (-1.3052, 36.8391)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,28,28,1.0,tomtom_flow_api,,False,3.484352881400352,tier2_other,0.0,,,no_ground_truth_reference_available,,55.0,11,estimated_from_street_length_ITDP_methodology,ok_way,1550329430
5383782003,Engineers Board of Kenya,-1.2918266,36.8125679,street_side,unknown,,24/7,public,Engineers Board of Kenya,On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,73,73,1.0,tomtom_flow_api,,False,1.0535303374379807,tier1_cbd,0.0,92.0,"ITDP Nairobi CBD Parking Survey, 2016, zones 1-3 average at 12:00-13:00 weekday",historical_reference_available_not_facility_specific,,,1,single_node_assumed_1_space,ok_node,5383782003
1412128799,Unnamed Parking,-1.30045552,36.81276458,street_side,unknown,,24/7,public,"Parking Spot (-1.3005, 36.8128)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,29,48,1.66,tomtom_flow_api,,False,1.957130290783197,tier2_other,33.0,,,no_ground_truth_reference_available,,52.2,10,estimated_from_street_length_ITDP_methodology,ok_way,1412128799
1412128800,Unnamed Parking,-1.29960762,36.81295018,street_side,unknown,,24/7,public,"Parking Spot (-1.2996, 36.8130)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,73,73,1.0,tomtom_flow_api,,False,1.860622010717069,tier2_other,0.0,,,no_ground_truth_reference_available,,136.6,27,estimated_from_street_length_ITDP_methodology,ok_way,1412128800
1547706891,Unnamed Parking,-1.29047958,36.81965914,street_side,unknown,,24/7,public,"Parking Spot (-1.2905, 36.8197)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,25,45,1.8,tomtom_flow_api,,False,0.8634517808100831,tier1_cbd,40.0,92.0,"ITDP Nairobi CBD Parking Survey, 2016, zones 1-3 average at 12:00-13:00 weekday",historical_reference_available_not_facility_specific,,138.2,28,estimated_from_street_length_ITDP_methodology,ok_way,1547706891
1547706892,Unnamed Parking,-1.29031122,36.8205133,street_side,unknown,,24/7,public,"Parking Spot (-1.2903, 36.8205)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,25,45,1.8,tomtom_flow_api,,False,0.8874102635167664,tier1_cbd,40.0,92.0,"ITDP Nairobi CBD Parking Survey, 2016, zones 1-3 average at 12:00-13:00 weekday",historical_reference_available_not_facility_specific,,101.4,20,estimated_from_street_length_ITDP_methodology,ok_way,1550082489
