osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access,facility_name_clean,category
1239349236,Unnamed Parking,-1.3017877,36.80416702,surface,unknown,,24/7,public,"Parking Spot (-1.3018, 36.8042)",Off-Street / Dedicated Lot
1549023645,Unnamed Parking,-1.2985377555555557,36.795995077777775,surface,unknown,,24/7,public,"Parking Spot (-1.2985, 36.7960)",Off-Street / Dedicated Lot
1549023646,Unnamed Parking,-1.2985190285714285,36.79627308571429,surface,unknown,,24/7,public,"Parking Spot (-1.2985, 36.7963)",Off-Street / Dedicated Lot
1549023647,Unnamed Parking,-1.2985036714285716,36.796506428571426,surface,unknown,,24/7,public,"Parking Spot (-1.2985, 36.7965)",Off-Street / Dedicated Lot
1549025709,Unnamed Parking,-1.2987757166666667,36.807620316666664,surface,unknown,,24/7,public,"Parking Spot (-1.2988, 36.8076)",Off-Street / Dedicated Lot
1549025710,Unnamed Parking,-1.2993043142857144,36.808499485714286,surface,unknown,,24/7,public,"Parking Spot (-1.2993, 36.8085)",Off-Street / Dedicated Lot
144112321,Strathmore Unviersity Phase II Parking Lot,-1.30995282,36.813705600000006,surface,unknown,,24/7,public,Strathmore Unviersity Phase II Parking Lot,Off-Street / Dedicated Lot
332240213,Unnamed Parking,-1.3129875363636363,36.81624425454545,surface,unknown,,24/7,public,"Parking Spot (-1.3130, 36.8162)",Off-Street / Dedicated Lot
332240214,Unnamed Parking,-1.3124009454545453,36.81660913636364,surface,unknown,,24/7,public,"Parking Spot (-1.3124, 36.8166)",Off-Street / Dedicated Lot
563448741,Unnamed Parking,-1.31645454,36.81458076,surface,yes,,24/7,public,"Parking Spot (-1.3165, 36.8146)",Off-Street / Dedicated Lot
1004221454,Unnamed Parking,-1.3186096769230768,36.818020684615384,surface,unknown,,24/7,public,"Parking Spot (-1.3186, 36.8180)",Off-Street / Dedicated Lot
1004334863,Unnamed Parking,-1.30872688,36.81288016,surface,unknown,,24/7,public,"Parking Spot (-1.3087, 36.8129)",Off-Street / Dedicated Lot
1004334864,Unnamed Parking,-1.3097225857142856,36.812379085714284,surface,unknown,,24/7,public,"Parking Spot (-1.3097, 36.8124)",Off-Street / Dedicated Lot
1004334865,Unnamed Parking,-1.3110397,36.81488215,surface,unknown,,24/7,public,"Parking Spot (-1.3110, 36.8149)",Off-Street / Dedicated Lot
1004334866,Unnamed Parking,-1.31072082,36.815223100000004,surface,unknown,,24/7,public,"Parking Spot (-1.3107, 36.8152)",Off-Street / Dedicated Lot
1004334867,Unnamed Parking,-1.3103369625,36.814090025,surface,unknown,,24/7,public,"Parking Spot (-1.3103, 36.8141)",Off-Street / Dedicated Lot
1453530799,Capital Centre Parking Lot,-1.316037,36.8340919,surface,yes,600,24/7,customers,Capital Centre Parking Lot,Off-Street / Dedicated Lot
2145313586,Vumira House Parking Lot,-1.3112488,36.8355363,surface,unknown,,24/7,public,Vumira House Parking Lot,Off-Street / Dedicated Lot
2145316657,Oddyssey Plaza Parking Lot,-1.3108493,36.8360701,surface,unknown,,24/7,public,Oddyssey Plaza Parking Lot,Off-Street / Dedicated Lot
5431210796,Unnamed Parking,-1.3185241,36.8261674,surface,unknown,,24/7,public,"Parking Spot (-1.3185, 36.8262)",Off-Street / Dedicated Lot
5431226371,Unnamed Parking,-1.3183048,36.829942,surface,unknown,,24/7,public,"Parking Spot (-1.3183, 36.8299)",Off-Street / Dedicated Lot
95636614,Unnamed Parking,-1.3164106937499997,36.8343584875,surface,unknown,,24/7,customers,"Parking Spot (-1.3164, 36.8344)",Off-Street / Dedicated Lot
364982321,Unnamed Parking,-1.31884862,36.83573452,surface,unknown,,24/7,public,"Parking Spot (-1.3188, 36.8357)",Off-Street / Dedicated Lot
382256363,Supa's Garage,-1.306461508333333,36.83415405833333,street_side,unknown,,24/7,public,Supa's Garage,On-Street
972912982,Unnamed Parking,-1.31058374,36.83929144,surface,unknown,,24/7,public,"Parking Spot (-1.3106, 36.8393)",Off-Street / Dedicated Lot
972912983,Unnamed Parking,-1.3106473600000002,36.83942994,surface,unknown,,24/7,public,"Parking Spot (-1.3106, 36.8394)",Off-Street / Dedicated Lot
972912984,Unnamed Parking,-1.31065844,36.839501940000005,surface,unknown,,24/7,public,"Parking Spot (-1.3107, 36.8395)",Off-Street / Dedicated Lot
