osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access
224515611,Unnamed Parking,-1.2523929,36.8692659,surface,yes,1,24/7,yes
226322141,Unnamed Parking,-1.2842621,36.7655817,surface,unknown,,24/7,public
226442362,Unnamed Parking,-1.3203658,36.7995836,surface,unknown,,24/7,public
238681877,Unnamed Parking,-1.2561743,36.8325524,surface,unknown,,24/7,public
238856245,Unnamed Parking,-1.2606662,36.7965372,surface,unknown,,24/7,public
238860182,Unnamed Parking,-1.2576734,36.8181261,surface,unknown,,24/7,public
239007380,Consolata Shrine Parking,-1.2670364,36.8033277,surface,unknown,,24/7,public
239143186,KAPS Parking Holy Family Basilica,-1.2875006,36.8200798,underground,yes,400,24/7,public
239938280,Impala Club Parking Lot,-1.3007773,36.7679522,surface,unknown,,24/7,public
239939682,Unnamed Parking,-1.2790903,36.8184555,surface,unknown,,24/7,public
241193404,K.I.C.C Car Park,-1.2886828,36.8209013,surface,unknown,,24/7,public
241570710,Unnamed Parking,-1.2926316,36.8190076,surface,unknown,,24/7,public
241571137,Ministry of Health Parking,-1.2909932,36.8146845,surface,unknown,,24/7,public
242427750,Unnamed Parking,-1.3029862,36.7740066,surface,unknown,,24/7,private
242428164,Unnamed Parking,-1.2650867,36.7997532,surface,unknown,,24/7,public
244391069,City Park Stadium Parking Lot,-1.2617688,36.8260581,surface,unknown,,24/7,public
244391409,Aga Khan University Hospital Parking,-1.2613517,36.8251904,surface,yes,500,24/7,permissive
245262956,Unnamed Parking,-1.3017683,36.8029581,surface,no,,24/7,customers
245264053,Don Bosco Church Parking,-1.3019293,36.820457,surface,unknown,,24/7,public
245700403,Green Park Self Help Group,-1.2655283,36.8480117,surface,no,,24/7,public
246935363,Unnamed Parking,-1.2855467,36.817755,surface,unknown,,24/7,public
247773424,Kenton Main Parking,-1.2787567,36.7885634,surface,unknown,,24/7,public
247828980,Unnamed Parking,-1.2816688,36.8129023,surface,unknown,,24/7,public
247896462,Unnamed Parking,-1.3001171,36.7547087,surface,unknown,,24/7,public
247896463,Unnamed Parking,-1.3000198,36.7543722,surface,unknown,,24/7,public
247896464,Unnamed Parking,-1.300259,36.7542781,surface,unknown,,24/7,public
247896465,Unnamed Parking,-1.3003432,36.7546087,surface,unknown,,24/7,public
248897159,Unnamed Parking,-1.261475,36.7963639,surface,unknown,,24/7,private
248992215,Mamlaka car park,-1.2802554,36.8100442,surface,unknown,,24/7,yes
248992300,ADD car park,-1.281071,36.8118146,surface,unknown,,24/7,yes
248992782,ADD parking,-1.2808017,36.8122337,surface,unknown,,24/7,public
248994452,Car park,-1.2777194,36.8116773,surface,unknown,,24/7,yes
248994836,Unnamed Parking,-1.2780602,36.8120329,street_side,unknown,,24/7,public
248995504,Unnamed Parking,-1.2783547,36.8122751,street_side,unknown,,24/7,public
251203939,Adams Arcade Parking,-1.3010542,36.7810935,surface,unknown,,24/7,public
254814024,Better Living Hospital Car Park,-1.2890868,36.8082241,surface,unknown,,24/7,public
254814025,LMS Guest House Car Park,-1.2888389,36.808386,surface,unknown,,24/7,public
254814026,Nairobi Central SDA Church - Maxwell Car Park,-1.2891189,36.8078189,surface,unknown,,24/7,public
254814027,Unnamed Parking,-1.2878153,36.8077563,surface,unknown,,24/7,public
257416296,Unnamed Parking,-1.2870395,36.88033,surface,unknown,,24/7,public
257420585,Unnamed Parking,-1.2879128,36.8813063,surface,unknown,,24/7,public
257420586,Unnamed Parking,-1.2875008,36.8811143,surface,unknown,,24/7,public
260915501,Unnamed Parking,-1.2970152,36.8948497,surface,unknown,50,24/7,permissive
260965997,Unnamed Parking,-1.3418877,36.7634137,surface,unknown,,24/7,public
265936949,Unnamed Parking,-1.336036,36.7878551,surface,unknown,,24/7,public
265937429,Unnamed Parking,-1.3351679,36.7886155,surface,unknown,,24/7,public
265937446,Unnamed Parking,-1.3324469,36.7839042,surface,unknown,,24/7,public
265937519,Unnamed Parking,-1.3364101,36.7795054,surface,no,,24/7,customers
265937670,Unnamed Parking,-1.3350691,36.7803895,surface,no,,24/7,yes
265939558,Unnamed Parking,-1.3318885,36.7825136,surface,unknown,,24/7,public
265939559,Unnamed Parking,-1.3321251,36.7820374,surface,unknown,,24/7,public
271393404,Unnamed Parking,-1.324913,36.8341003,surface,unknown,,24/7,public
271393405,Unnamed Parking,-1.3254014,36.8342281,surface,unknown,,24/7,public
271394056,Unnamed Parking,-1.3237508,36.8352828,surface,unknown,,24/7,public
271394065,Unnamed Parking,-1.3221847,36.835003,surface,unknown,,24/7,public
273247839,Unnamed Parking,-1.2535489,36.8611421,surface,unknown,,24/7,public
283725047,Unnamed Parking,-1.2897587,36.8289216,surface,unknown,,24/7,public
283725048,Athi River/Kitengela Bus Stage,-1.2891821,36.8281062,surface,unknown,,24/7,public
297314206,Nairobi Hospital Car Parking,-1.29617,36.8036707,surface,unknown,,24/7,public
310029007,Otiende Shopping Center Parking,-1.3235838,36.779773,surface,no,,24/7,public
332240213,Unnamed Parking,-1.3130979,36.8162827,surface,unknown,,24/7,public
332240214,Unnamed Parking,-1.312277,36.8166364,surface,unknown,,24/7,public
345275446,The Junction Mall Parking,-1.298592,36.7623015,surface,yes,,24/7,public
345275450,Unnamed Parking,-1.298828,36.7631084,surface,unknown,,24/7,public
364982321,Unnamed Parking,-1.3188932,36.8357571,surface,unknown,,24/7,public
364994364,Unnamed Parking,-1.31844,36.8557419,surface,unknown,,24/7,private
