facility_name,tier,latitude,longitude,collected_at,hour_of_day,day_of_week,is_weekend,is_holiday,traffic_delay_index,traffic_data_source,parking_pressure_score,calibration_status
"Parking Spot (-1.2901, 36.8207)",tier1_cbd,-1.2901086,36.820685,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.3026, 36.8256)",tier2_other,-1.3025894,36.8256065,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.3272, 36.8708)",tier2_other,-1.3271509,36.8708477,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.3271, 36.8710)",tier2_other,-1.3271343,36.8709666,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.3286, 36.8707)",tier2_other,-1.3285729,36.8707235,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.3287, 36.8706)",tier2_other,-1.3287021,36.8705942,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.3287, 36.8722)",tier2_other,-1.3286833,36.8722469,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.3287, 36.8720)",tier2_other,-1.3287106,36.8719656,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.3288, 36.8720)",tier2_other,-1.3288417,36.8719866,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.3290, 36.8716)",tier2_other,-1.3289652,36.8716011,2026-08-26T10:16:44,10,2,0,0,1.4,tomtom_flow_api,59.7,calibrated_n16
"Parking Spot (-1.2898, 36.8259)",tier2_other,-1.2898309,36.825937,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2885, 36.8270)",tier2_other,-1.2885149,36.8269544,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2885, 36.8271)",tier2_other,-1.2884948,36.8270553,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2871, 36.8264)",tier1_cbd,-1.287116,36.826355,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2807, 36.8180)",tier1_cbd,-1.2806952,36.817958,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.3247, 36.8486)",tier2_other,-1.324735,36.848583,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.3250, 36.8487)",tier2_other,-1.3249583,36.8486633,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2893, 36.8268)",tier2_other,-1.289281,36.8267821,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2673, 36.8173)",tier2_other,-1.2673176,36.8173178,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2674, 36.8175)",tier2_other,-1.267436,36.8175327,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2676, 36.8173)",tier2_other,-1.2675626,36.817291,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.2669, 36.8169)",tier2_other,-1.2669423,36.8169276,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
"Parking Spot (-1.3266, 36.8484)",tier2_other,-1.3266,36.8484009,2026-08-26T10:16:44,10,2,0,0,1.31,tomtom_flow_api,57.4,calibrated_n16
"Parking Spot (-1.2894, 36.8236)",tier1_cbd,-1.2894048,36.8236202,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2869, 36.8228)",tier1_cbd,-1.286916,36.8227858,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2870, 36.8228)",tier1_cbd,-1.2870067,36.82284,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2895, 36.8218)",tier1_cbd,-1.2895015,36.8218114,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2894, 36.8218)",tier1_cbd,-1.2894452,36.8217674,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2893, 36.8218)",tier1_cbd,-1.2893413,36.8217688,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2901, 36.8208)",tier1_cbd,-1.2900636,36.820763,2026-08-26T10:16:44,10,2,0,0,1.96,tomtom_flow_api,73.9,calibrated_n16
"Parking Spot (-1.2900, 36.8266)",tier2_other,-1.2900473,36.8266244,2026-08-26T10:16:44,10,2,0,0,1.0,tomtom_flow_api,49.6,calibrated_n16
